absTrend,diversityTrend,id,initVariability,intellibility,languageDiversity,languageSize,mutationRate,populationSize,semanticSize,understandingThreshold
7.716273193657167E-4,7.716273193657167E-4,69,0.30000000000000004,1.0,1.2582587261554514,30.0,0.03,10.0,10.0,0.30000000000000004
8.539575109019116E-4,8.539575109019116E-4,69,0.30000000000000004,1.0,1.3867721148642123,19.0,0.03,10.0,10.0,0.30000000000000004
0.0012528354671852565,0.0012528354671852565,69,0.30000000000000004,1.0,1.466788157479767,27.0,0.03,10.0,10.0,0.30000000000000004
0.0015990240039625756,0.0015990240039625756,69,0.30000000000000004,1.0,1.994085452973068,25.0,0.03,10.0,10.0,0.30000000000000004
0.0017003775099734691,0.0017003775099734691,69,0.30000000000000004,1.0,2.299130487733753,34.0,0.03,10.0,10.0,0.30000000000000004
0.0015289079208459016,0.0015289079208459016,69,0.30000000000000004,1.0,1.550531877405044,30.0,0.03,10.0,10.0,0.30000000000000004
3.375464692688409E-4,3.375464692688409E-4,69,0.30000000000000004,1.0,0.7239224066207007,23.0,0.03,10.0,10.0,0.30000000000000004
0.0020207809032804286,0.0020207809032804286,69,0.30000000000000004,1.0,1.9070350215338758,25.0,0.03,10.0,10.0,0.30000000000000004
9.092121191193958E-4,9.092121191193958E-4,69,0.30000000000000004,1.0,1.2867580927176077,26.0,0.03,10.0,10.0,0.30000000000000004
6.084441899012525E-4,6.084441899012525E-4,69,0.30000000000000004,1.0,1.070358626017306,27.0,0.03,10.0,10.0,0.30000000000000004
6.320727439767465E-4,6.320727439767465E-4,68,0.30000000000000004,1.0,0.9456240259920736,25.0,0.03,10.0,10.0,0.2
0.0015733834424180465,0.0015733834424180465,68,0.30000000000000004,1.0,1.31862107068807,22.0,0.03,10.0,10.0,0.2
0.002540707230348694,0.002540707230348694,68,0.30000000000000004,1.0,2.9807158652609047,29.0,0.03,10.0,10.0,0.2
8.98186609359939E-4,8.98186609359939E-4,68,0.30000000000000004,1.0,1.149621497034003,27.0,0.03,10.0,10.0,0.2
0.0014126462991443038,0.0014126462991443038,68,0.30000000000000004,1.0,1.2543241794670736,21.0,0.03,10.0,10.0,0.2
