diversityTrend,id,initVariability,intelligibility,languageDiversity,languageSize,memoryImpedance,mutationRate,populationSize,semanticSize,understandingThreshold
0.010169516858279354,0,0.1,0.36,20.29138450803798,290.0,0.1,0.3,50.0,20.0,0.005
0.009998791512960807,0,0.1,0.3,22.221225628546197,282.0,0.1,0.3,50.0,20.0,0.005
0.0093398161209279,0,0.1,0.12,20.233490679394986,267.0,0.1,0.3,50.0,20.0,0.005
0.013084825596852954,0,0.1,0.26,27.825199427580763,290.0,0.1,0.3,50.0,20.0,0.005
0.009237368665439425,0,0.1,0.4,19.581313121613753,273.0,0.1,0.3,50.0,20.0,0.005
0.013078955501552955,0,0.1,0.24,26.118365587210736,283.0,0.1,0.3,50.0,20.0,0.005
0.01456534004134496,0,0.1,0.16,32.26685480548363,283.0,0.1,0.3,50.0,20.0,0.005
0.016285924289708858,0,0.1,0.24,30.804907623917664,283.0,0.1,0.3,50.0,20.0,0.005
0.011359258878126527,0,0.1,0.3,21.923583728432437,292.0,0.1,0.3,50.0,20.0,0.005
0.01743067157552541,0,0.1,0.3,34.64700158078908,282.0,0.1,0.3,50.0,20.0,0.005
0.012680838919209717,0,0.1,0.24,24.623379302187296,287.0,0.1,0.3,50.0,20.0,0.005
0.013415281792315813,0,0.1,0.24,28.575683187933915,297.0,0.1,0.3,50.0,20.0,0.005
0.01255615259046611,0,0.1,0.24,28.531311431998763,306.0,0.1,0.3,50.0,20.0,0.005
0.01107662014925753,0,0.1,0.26,22.1101956030942,293.0,0.1,0.3,50.0,20.0,0.005
0.011766314136080619,0,0.1,0.18,25.188106083250105,269.0,0.1,0.3,50.0,20.0,0.005
0.010556818417033617,0,0.1,0.12,23.201860017417335,285.0,0.1,0.3,50.0,20.0,0.005
0.015490226743933522,0,0.1,0.32,30.67258459980464,277.0,0.1,0.3,50.0,20.0,0.005
0.015448949380710023,0,0.1,0.3,30.447501210575616,272.0,0.1,0.3,50.0,20.0,0.005
0.010253176865264373,0,0.1,0.26,23.314258066160022,286.0,0.1,0.3,50.0,20.0,0.005
0.012199981673333036,0,0.1,0.18,24.555569677978188,290.0,0.1,0.3,50.0,20.0,0.005
0.01132031189812561,0,0.1,0.32,25.074959795451655,309.0,0.1,0.3,50.0,20.0,0.005
0.01464165143625074,0,0.1,0.12,31.785550687352433,312.0,0.1,0.3,50.0,20.0,0.005
0.01376984559693278,0,0.1,0.2,30.163446241772142,299.0,0.1,0.3,50.0,20.0,0.005
0.013202362568303802,0,0.1,0.36,26.72801711735915,293.0,0.1,0.3,50.0,20.0,0.005
0.013905878145579097,0,0.1,0.3,30.24894419079383,289.0,0.1,0.3,50.0,20.0,0.005
0.014562666121456203,0,0.1,0.16,30.189789482633408,296.0,0.1,0.3,50.0,20.0,0.005
0.015587245896234172,0,0.1,0.14,31.976178469198807,310.0,0.1,0.3,50.0,20.0,0.005
0.015451434044265364,0,0.1,0.24,30.2878348026922,314.0,0.1,0.3,50.0,20.0,0.005
0.01372394666077618,0,0.1,0.18,30.617013576339314,329.0,0.1,0.3,50.0,20.0,0.005
0.01437908790024793,0,0.1,0.24,30.25276337444595,308.0,0.1,0.3,50.0,20.0,0.005
0.0210413073828946,0,0.1,0.18,43.56374203327926,307.0,0.1,0.3,50.0,20.0,0.005
0.014833571091005979,0,0.1,0.22,29.04889820429655,272.0,0.1,0.3,50.0,20.0,0.005
0.014407784509787743,0,0.1,0.34,31.4099630268341,280.0,0.1,0.3,50.0,20.0,0.005
0.016158493822714854,0,0.1,0.26,34.83620157927887,317.0,0.1,0.3,50.0,20.0,0.005
0.013870865546960046,0,0.1,0.16,26.050832984202877,293.0,0.1,0.3,50.0,20.0,0.005
0.014276222486703748,0,0.1,0.24,26.48324701071447,296.0,0.1,0.3,50.0,20.0,0.005
0.015489999690138903,0,0.1,0.14,33.56693384710251,329.0,0.1,0.3,50.0,20.0,0.005
0.012473286664793911,0,0.1,0.2,26.157623004398644,306.0,0.1,0.3,50.0,20.0,0.005
0.013569237790781865,0,0.1,0.28,28.435646135843488,296.0,0.1,0.3,50.0,20.0,0.005
0.015543705306703398,0,0.1,0.26,30.806967030732142,293.0,0.1,0.3,50.0,20.0,0.005
0.016018135616765523,0,0.1,0.24,31.03049785361724,294.0,0.1,0.3,50.0,20.0,0.005
0.019715097528870393,0,0.1,0.18,39.625347974593176,307.0,0.1,0.3,50.0,20.0,0.005
0.01264462350945867,0,0.1,0.08,26.850910626581662,312.0,0.1,0.3,50.0,20.0,0.005
0.013552095534070427,0,0.1,0.1,31.422701741001408,316.0,0.1,0.3,50.0,20.0,0.005
0.012508655210961818,0,0.1,0.24,25.94732136081938,301.0,0.1,0.3,50.0,20.0,0.005
0.015593703728254563,0,0.1,0.12,32.294520984163896,305.0,0.1,0.3,50.0,20.0,0.005
0.015363320253255992,0,0.1,0.18,31.655419377506004,318.0,0.1,0.3,50.0,20.0,0.005
0.013929922622605834,0,0.1,0.3,30.96121139862812,296.0,0.1,0.3,50.0,20.0,0.005
0.016101225279522614,0,0.1,0.26,32.68152637310108,321.0,0.1,0.3,50.0,20.0,0.005
0.017452390756895735,0,0.1,0.26,34.837285147427814,310.0,0.1,0.3,50.0,20.0,0.005
0.014921419304283931,19,0.1,0.2,30.41546403811962,281.0,2.0,0.3,50.0,20.0,0.005
0.011837700975468895,19,0.1,0.28,26.486781851823807,282.0,2.0,0.3,50.0,20.0,0.005
0.012441790371488395,19,0.1,0.28,24.859995406083588,299.0,2.0,0.3,50.0,20.0,0.005
0.012550637877086457,19,0.1,0.26,27.447661985167258,286.0,2.0,0.3,50.0,20.0,0.005
0.010250835886960352,19,0.1,0.28,22.69649869137354,277.0,2.0,0.3,50.0,20.0,0.005
0.014932304719153645,19,0.1,0.2,31.534789443024586,297.0,2.0,0.3,50.0,20.0,0.005
0.011780415681237808,19,0.1,0.2,26.303007177845682,298.0,2.0,0.3,50.0,20.0,0.005
0.011056818097260215,19,0.1,0.16,22.557740594583482,271.0,2.0,0.3,50.0,20.0,0.005
0.016254569559755662,19,0.1,0.2,31.72087824607831,303.0,2.0,0.3,50.0,20.0,0.005
0.013021816557031747,19,0.1,0.22,26.093813920299777,320.0,2.0,0.3,50.0,20.0,0.005
0.01609114342970013,19,0.1,0.28,31.538767475805408,317.0,2.0,0.3,50.0,20.0,0.005
0.016168524058461257,19,0.1,0.22,33.873156878761186,305.0,2.0,0.3,50.0,20.0,0.005
